year,avg_temp,ma_5_years,ma_10_years,ma_15_years,ma_20_years,ma_25_years,ma_50_years,accu_avg
1750,8.72,,,,,,,8.72
1751,7.98,,,,,,,8.35
1752,5.78,,,,,,,7.49
1753,8.39,,,,,,,7.72
1754,8.47,7.87,,,,,,7.87
1755,8.36,7.80,,,,,,7.95
1756,8.85,7.97,,,,,,8.08
1757,9.02,8.62,,,,,,8.20
1758,6.74,8.29,,,,,,8.03
1759,7.99,8.19,8.03,,,,,8.03
1760,7.19,7.96,7.88,,,,,7.95
1761,8.77,7.94,7.96,,,,,8.02
1762,8.61,7.86,8.24,,,,,8.07
1763,7.50,8.01,8.15,,,,,8.03
1764,8.40,8.09,8.14,8.05,,,,8.05
1765,8.25,8.31,8.13,8.02,,,,8.06
1766,8.41,8.23,8.09,8.05,,,,8.08
1767,8.22,8.16,8.01,8.21,,,,8.09
1768,6.78,8.01,8.01,8.10,,,,8.02
1769,7.69,7.87,7.98,8.05,8.01,,,8.01
1770,7.69,7.76,8.03,8.01,7.95,,,7.99
1771,7.85,7.65,7.94,7.94,7.95,,,7.98
1772,8.19,7.64,7.90,7.89,8.07,,,7.99
1773,8.22,7.93,7.97,7.98,8.06,,,8.00
1774,8.77,8.14,8.01,8.04,8.08,8.03,,8.03
1775,9.18,8.44,8.10,8.17,8.12,8.05,,8.08
1776,8.30,8.53,8.09,8.14,8.09,8.06,,8.09
1777,8.26,8.55,8.09,8.11,8.05,8.16,,8.09
1778,8.54,8.61,8.27,8.18,8.14,8.17,,8.11
1779,8.98,8.65,8.40,8.22,8.19,8.19,,8.14
1780,9.43,8.70,8.57,8.30,8.30,8.23,,8.18
1781,8.10,8.66,8.60,8.28,8.27,8.20,,8.18
1782,7.90,8.59,8.57,8.26,8.23,8.16,,8.17
1783,7.68,8.42,8.51,8.32,8.24,8.20,,8.15
1784,7.86,8.19,8.42,8.33,8.22,8.19,,8.14
1785,7.36,7.78,8.24,8.31,8.17,8.20,,8.12
1786,8.26,7.81,8.24,8.34,8.16,8.18,,8.13
1787,8.03,7.84,8.21,8.32,8.15,8.15,,8.12
1788,8.45,7.99,8.21,8.34,8.24,8.19,,8.13
1789,8.33,8.09,8.14,8.31,8.27,8.19,,8.14
1790,7.98,8.21,8.00,8.23,8.28,8.18,,8.13
1791,8.23,8.20,8.01,8.23,8.30,8.17,,8.14
1792,8.09,8.22,8.03,8.21,8.30,8.17,,8.13
1793,8.23,8.17,8.08,8.19,8.30,8.22,,8.14
1794,8.53,8.21,8.15,8.16,8.29,8.26,,8.15
1795,8.35,8.29,8.25,8.09,8.24,8.28,,8.15
1796,8.27,8.29,8.25,8.10,8.24,8.30,,8.15
1797,8.51,8.38,8.30,8.14,8.26,8.31,,8.16
1798,8.67,8.47,8.32,8.21,8.26,8.33,,8.17
1799,8.51,8.46,8.34,8.25,8.24,8.32,8.18,8.18
1800,8.48,8.49,8.39,8.33,8.19,8.29,8.17,8.18
1801,8.59,8.55,8.42,8.35,8.22,8.30,8.18,8.19
1802,8.58,8.57,8.47,8.39,8.25,8.32,8.24,8.20
1803,8.50,8.53,8.50,8.39,8.29,8.32,8.24,8.20
1804,8.84,8.60,8.53,8.42,8.34,8.31,8.25,8.22
1805,8.56,8.61,8.55,8.46,8.40,8.28,8.25,8.22
