year,avg_temp,ma_5_year,ma_10_year,ma_15_year,ma_20_year,ma_25_year,ma_50_year,accu_avg
1743,7.54,,,,,,,7.54
1744,10.34,,,,,,,8.94
1745,4.13,,,,,,,7.34
1750,10.25,,,,,,,8.07
1751,9.99,8.45,,,,,,8.45
1752,6.54,8.25,,,,,,8.13
1753,9.42,8.07,,,,,,8.32
1754,9.2,9.08,,,,,,8.43
1755,8.95,8.82,,,,,,8.48
1756,9.42,8.71,8.58,,,,,8.58
1757,9.34,9.27,8.76,,,,,8.65
1758,8.85,9.15,8.61,,,,,8.66
1759,9.8,9.27,9.18,,,,,8.75
1760,9.26,9.33,9.08,,,,,8.79
1761,9.69,9.39,9.05,8.85,,,,8.85
1762,8.99,9.32,9.29,8.94,,,,8.86
1763,8.75,9.30,9.23,8.84,,,,8.85
1764,9.14,9.17,9.22,9.17,,,,8.87
1765,8.95,9.10,9.22,9.09,,,,8.87
1766,9.07,8.98,9.18,9.02,8.88,,,8.88
1767,8.98,8.98,9.15,9.19,8.95,,,8.89
1768,9.12,9.05,9.18,9.17,8.89,,,8.90
1769,9.04,9.03,9.10,9.16,9.14,,,8.90
1770,9.03,9.05,9.08,9.16,9.08,,,8.91
1771,8.78,8.99,8.99,9.12,9.02,8.90,,8.90
1772,9.36,9.07,9.02,9.12,9.16,8.98,,8.92
1773,9.33,9.11,9.08,9.15,9.15,8.94,,8.94
1774,9.1,9.12,9.08,9.11,9.15,9.13,,8.94
1775,10.1,9.33,9.19,9.16,9.21,9.13,,8.98
1776,9.21,9.42,9.21,9.13,9.19,9.10,,8.99
1777,9.25,9.40,9.23,9.15,9.19,9.21,,9.00
1778,9.8,9.49,9.30,9.22,9.24,9.22,,9.02
1779,10.76,9.82,9.47,9.33,9.29,9.28,,9.08
1780,9.67,9.74,9.54,9.37,9.31,9.31,,9.09
1781,10.41,9.98,9.70,9.46,9.34,9.35,,9.13
1782,8.44,9.82,9.61,9.43,9.31,9.32,,9.11
1783,9.97,9.85,9.67,9.48,9.38,9.36,,9.13
1784,8.29,9.36,9.59,9.43,9.33,9.30,,9.11
1785,8.54,9.13,9.43,9.40,9.31,9.27,,9.10
1786,8.35,8.72,9.35,9.37,9.28,9.22,,9.08
1787,9.53,8.94,9.38,9.38,9.30,9.24,,9.09
1788,9.39,8.82,9.34,9.39,9.32,9.26,,9.10
1789,9.12,8.99,9.17,9.39,9.32,9.26,,9.10
1790,9.67,9.21,9.17,9.36,9.35,9.29,,9.11
1791,9.59,9.46,9.09,9.39,9.39,9.31,,9.12
1792,9.56,9.47,9.20,9.41,9.40,9.34,,9.13
1793,9.59,9.51,9.16,9.39,9.42,9.36,,9.14
1794,10,9.68,9.33,9.34,9.46,9.39,,9.16
1795,9.19,9.59,9.40,9.31,9.42,9.40,,9.16
1796,9.5,9.57,9.51,9.25,9.43,9.43,9.17,9.17
1797,9.62,9.58,9.52,9.33,9.45,9.44,9.21,9.17
1798,9.83,9.63,9.57,9.32,9.45,9.46,9.20,9.19
1799,7.94,9.22,9.45,9.29,9.31,9.41,9.27,9.16
1800,9.32,9.24,9.41,9.35,9.29,9.38,9.25,9.17
1801,9.68,9.28,9.42,9.44,9.26,9.40,9.25,9.18
1802,9.31,9.22,9.40,9.42,9.30,9.40,9.30,9.18
1803,8.79,9.01,9.32,9.38,9.24,9.36,9.29,9.17
1804,9.37,9.29,9.26,9.40,9.29,9.31,9.29,9.18
1805,8.56,9.14,9.19,9.32,9.30,9.26,9.29,9.16
1806,9.87,9.18,9.23,9.34,9.37,9.24,9.30,9.18
1807,9.03,9.12,9.17,9.31,9.35,9.26,9.29,9.17
1808,8.91,9.15,9.08,9.26,9.32,9.22,9.29,9.17
1809,8.99,9.07,9.18,9.19,9.32,9.25,9.27,9.17
1810,8.97,9.15,9.15,9.18,9.28,9.27,9.27,9.16
1811,10.1,9.20,9.19,9.22,9.31,9.34,9.28,9.18
1812,8.58,9.11,9.12,9.15,9.26,9.30,9.27,9.17
1813,9.13,9.15,9.15,9.10,9.23,9.29,9.28,9.17
1814,7.93,8.94,9.01,9.10,9.13,9.24,9.25,9.15
1815,8.99,8.95,9.05,9.08,9.12,9.21,9.25,9.15
1816,7.98,8.52,8.86,8.97,9.05,9.15,9.23,9.13
1817,8.95,8.60,8.85,8.94,9.01,9.13,9.23,9.13
1818,9.88,8.75,8.95,9.02,9.01,9.14,9.25,9.14
1819,9.58,9.08,9.01,9.03,9.10,9.12,9.26,9.15
1820,8.61,9.00,8.97,9.03,9.06,9.10,9.25,9.14
1821,9.63,9.33,8.93,9.02,9.06,9.10,9.27,9.14
1822,10.36,9.61,9.10,9.11,9.11,9.13,9.29,9.16
1823,8.8,9.40,9.07,9.10,9.11,9.09,9.27,9.16
1824,9.65,9.41,9.24,9.14,9.13,9.16,9.29,9.16
1825,9.98,9.68,9.34,9.21,9.20,9.19,9.28,9.17
1826,10.12,9.78,9.56,9.21,9.21,9.20,9.30,9.18
1827,9.37,9.58,9.60,9.26,9.23,9.21,9.30,9.19
1828,10.1,9.84,9.62,9.33,9.29,9.26,9.31,9.20
1829,7.95,9.50,9.46,9.33,9.23,9.20,9.25,9.18
1830,8.78,9.26,9.47,9.32,9.22,9.21,9.24,9.18
1831,10.01,9.24,9.51,9.45,9.22,9.22,9.23,9.19
1832,9.24,9.22,9.40,9.47,9.25,9.22,9.24,9.19
1833,9.4,9.08,9.46,9.44,9.27,9.24,9.23,9.19
1834,10.59,9.60,9.55,9.51,9.40,9.31,9.28,9.21
1835,9.48,9.74,9.50,9.56,9.42,9.33,9.30,9.21
1836,9.04,9.55,9.40,9.52,9.48,9.29,9.31,9.21
1837,8.85,9.47,9.34,9.42,9.47,9.30,9.30,9.20
1838,8.05,9.20,9.14,9.37,9.38,9.25,9.27,9.19
1839,8.89,8.86,9.23,9.32,9.35,9.29,9.27,9.19
1840,8.68,8.70,9.22,9.24,9.35,9.28,9.25,9.18
1841,9.12,8.72,9.13,9.17,9.32,9.32,9.24,9.18
1842,9.43,8.83,9.15,9.17,9.28,9.34,9.23,9.18
1843,9.4,9.10,9.15,9.13,9.31,9.32,9.23,9.19
1844,8.85,9.10,8.98,9.19,9.27,9.30,9.21,9.18
1845,8.46,9.05,8.88,9.17,9.19,9.29,9.19,9.18
1846,10.48,9.32,9.02,9.20,9.21,9.32,9.21,9.19
1847,9.24,9.29,9.06,9.20,9.20,9.28,9.21,9.19
1848,9.52,9.31,9.21,9.21,9.17,9.31,9.20,9.19
1849,9.42,9.42,9.26,9.13,9.25,9.30,9.23,9.20
1850,9.06,9.54,9.30,9.10,9.26,9.26,9.22,9.19
1851,9.17,9.28,9.30,9.11,9.22,9.22,9.21,9.19
1852,9.96,9.43,9.36,9.18,9.25,9.25,9.23,9.20
1853,8.44,9.21,9.26,9.21,9.21,9.18,9.22,9.19
1854,9.3,9.19,9.31,9.24,9.14,9.23,9.22,9.19
1855,8.03,8.98,9.26,9.19,9.07,9.20,9.21,9.18
1856,9.17,8.98,9.13,9.20,9.08,9.17,9.19,9.18
1857,10.21,9.03,9.23,9.25,9.14,9.21,9.22,9.19
1858,9.2,9.18,9.20,9.23,9.20,9.20,9.22,9.19
1859,9.97,9.32,9.25,9.31,9.26,9.18,9.24,9.20
1860,8.17,9.34,9.16,9.29,9.23,9.12,9.23,9.19
